,Source,Target,Weight
183,content_strategy,content_marketing,12
184,content_strategy,content_development,1
185,content_strategy,governance,1
186,data_science,operations_research,1
187,data_science,enterprise_software,1
188,data_science,graph_theory,1
189,data_science,mathematics,4
190,data_science,applied_math,2
191,data_science,r_project_for_statistical_computing,16
192,data_science,r_programming_language,4
193,data_science,bigdatadevelopers,2
194,data_science,data_analysis_and_modeling,10
195,data_science,business_process_management,2
196,data_science,statistical_modeling,3
197,data_science,distributed_computing,1
198,data_science,applied_statistics,16
199,data_science,statistics_and_data_analysis,8
200,data_science,newsql,3
201,data_science,infographics,3
202,data_science,to_promote_r_for_big_data_analytics,4
203,data_science,visualization,3
204,data_science,julia,2
205,data_science,bayesian_networks,2
206,data_science,spatial_data,2
207,data_science,statistical_computing,13
208,data_science,simulations,1
209,data_science,computer_art,1
210,data_science,trends_and_forecasting,2
211,data_science,data_science_&_business_architecture,1
212,data_science,computer_science,9
213,data_science,big_data,137
214,data_science,belief_networks,2
215,data_science,big_data-hadoop,2
216,data_science,programming_in_r,5
217,data_science,data_analysis,6
218,data_science,uk_sql_groups,1
219,data_science,kdb+,2
220,sql_server_2008,sql_server_web_services_+_more_data_access_methods,2
221,sql_server_2008,advanced_sql_server,2
222,scrum_coaching,scrum,5
223,business_intelligence_data_warehousing,data_visualization,7
224,customer_success,customer_satisfaction,3
225,customer_success,pmp_certification,1
226,customer_success,customer_experience,3
227,openshift,cloud_computing,2
228,energy_efficiency,engineering,1
229,user_testing,user_experience,3
230,user_testing,usability_testing,1
231,crisismapping,big_data_analytics,1
232,crisismapping,technology_and_crisis_response,1
233,crisismapping,crowdsourcing,1
234,computer_security,"technology_(security,_audits)",3
235,computer_security,information_systems_security,2
236,computer_security,identity_&_access_management,1
237,computer_security,ethical_hacking,1
238,computer_security,computer_and_information_network_security,2
239,computer_security,disaster_recovery,1
240,computer_security,information_security,33
241,computer_security,physical_security,1
242,computer_security,cloud_security,20
243,computer_security,cissp,2
244,computer_security,application_security,12
245,computer_security,web_application_security,18
246,computer_security,federated_identity,1
247,computer_security,internet_security,2
248,computer_security,risk_governance_and_compliance,2
249,computer_security,risk,1
250,computer_security,mobile_security,3
251,computer_security,data_protection,2
252,computer_security,future_technology_trends,1
253,google_cloud_platform,cloud_computing,4
254,technological_singularity,artificial_intelligence,5
255,all_forms_of_javascript,javascript,18
256,application_programming_interface,apis,7
257,application_programming_interface,rest,1
258,application_programming_interface,service-oriented_architecture,3
259,application_programming_interface,cloud_storage_apis,1
260,application_programming_interface,kong,2
261,oracle_business_solutions,oracle_database_administration,1
262,oracle_business_solutions,oracle,1
263,distributed_scala_programming,functional_programming,5
264,design_futures,urban_design,2
265,design_futures,internet_of_things,2
266,entrepreneur_matchmaking,entrepreneur_networking,3
267,entrepreneur_matchmaking,co-founder,2
268,ios_development,cross_platform_development,7
269,ios_development,ios_game_development,5
270,ios_development,adobe_flash,1
271,ios_development,cross_platform_mobile_game_development,4
272,ios_development,learn_computer_programming,1
273,ios_development,swift_language,9
274,ios_development,iphone,11
275,ios_development,iphone_application_development,1
276,ios_development,android_app_architecture,2
277,ios_development,windows_mobile,2
278,ios_development,os_x_development,3
279,ios_development,cocoa_touch,3
280,ios_development,mobile_development,99
281,ios_development,app_developers,2
282,ios_development,beginner_ios_developers,4
283,ios_development,contractors,1
284,ios_development,international_development,2
285,ios_development,iphone_game_development,3
286,ios_development,corona_sdk,3
287,ios_development,swift,5
288,ios_development,outsourcing,1
289,ios_development,ios,29
290,ios_development,educational_apps,2
291,ios_development,objective_c,17
292,ios_development,mac,3
293,ios_development,xcode,3
294,ios_development,cocoa_programming_language,3
295,ios_development,sharing_economy,1
296,ios_development,basics_of_iphone_app_development,3
297,ios_development,ios_platform,4
298,ios_development,iphone_app_marketing,3
299,ios_development,c_/_c_+_+,2
300,ios_development,mac_development,2
301,ios_development,social_game_developers,2
302,ios_development,building_android_apps_with_appcelerator_titanium,1
303,ios_development,adobe_air,1
304,ios_development,apple_mobile_device_application_development,2
305,ios_development,xcode_users,2
306,ios_development,ipad,7
307,clean_code,test_driven_development,6
308,clean_code,spring_framework,1
309,web_analytics_wednesdays,waw,2
310,web_analytics_wednesdays,webtrends,1
311,web_analytics_wednesdays,avinash_kaushik,1
312,web_analytics_wednesdays,omniture,1
313,web_analytics_wednesdays,web_analytics,2
314,enterprise_ar/mr/vr,augmented_reality,4
315,apache_hadoop,big_data,5
316,hardware,robotics,9
317,using_twitter_for_business,social_media,3
318,stream_processing,apache_apex,3
319,stream_processing,big_data,6
320,business_owners,business_strategy,2
321,financial,fintech_evolution,2
322,c#,xml,2
323,c#,c#.net,3
324,c#,xslt,2
325,c#,.net_development,11
326,c#,.net_developers,5
327,c#,engineers,1
328,c#,.net,37
329,c#,web_design_and_programming,1
330,c#,windows,3
331,email_marketing_(ecommerce),email_marketing_2.0,2
332,high_tech,technology_startups,3
333,solr,hadoop,3
334,finding_wholesale_items_to_sell_on_ebay,selling_on_amazon,2
335,video_game_design,indie_game_development,1
336,video_game_design,online_gaming,1
337,video_game_design,game_development,20
338,video_game_design,transmedia,1
339,video_game_design,video_game_entrepreneurs,3
340,facebook_marketing,online_marketing,4
341,geographic_information_systems:_gis,esri,2
342,geographic_information_systems:_gis,java,2
343,bristol,javascript,3
344,spreadsheets,self_service_bi,1
345,spreadsheets,data_analytics,2
346,spreadsheets,excel,2
347,spreadsheets,power_query,1
348,politics,copyright,2
349,virtual_worlds,virtual_reality,22
350,continous_integration,system_administration,1
351,google_technology_user_group,android_development,10
352,google_technology_user_group,google_apps,6
353,google_technology_user_group,google_web_toolkit_(gwt),2
354,google_technology_user_group,google_adwords,2
355,google_technology_user_group,gtug,2
356,augmented_reality,immersive_tech,4
357,augmented_reality,stereoscopic_equipment_and_methods,2
358,augmented_reality,mixed_reality,14
359,augmented_reality,ux_in_vr,2
360,augmented_reality,virtual_reality,36
361,augmented_reality,windows_holographic,3
362,augmented_reality,social_augmented_reality,11
363,augmented_reality,hololens,3
364,augmented_reality,google_cardboard,6
365,digital,web_design,2
366,texturing,3d_modeling,2
367,texturing,pixologic_zbrush,2
368,beer,technology,2
369,analytics,data_analytics,10
370,web_performance,prometheus,1
371,web_performance,website_optimization,2
372,web_performance,web_design,4
373,digital_transformation,blockchain_security,1
374,digital_transformation,women_in_blockchain,1
375,scala,functional_programming,19
376,scala,play_framework,5
377,scala,scala_play_framework,4
378,scala,akka,3
379,scala,scala_programming,6
380,scala,investment_banking,1
381,decentralization,cryptocurrency,10
382,service_oriented_architectures,enterprise_application_integration,4
383,service_oriented_architectures,solution_architecture,3
384,railo,web_design,2
385,statistical_modeling,statistical_science,1
386,statistical_modeling,bayesian_statistics,1
387,statistical_modeling,bayesian_probability,1
388,azure,information_technology_students,1
389,azure,cmmi,2
390,azure,technical_recruiting,1
391,azure,cloud_computing,6
392,azure,tfs,2
393,azure,visual_studio_2012,2
394,social_media_for_business,social_media,6
395,cleantech_and_information_technology,technology,1
396,nodejs,json,5
397,nodejs,coffeescript,4
398,nodejs,space_tourism,1
399,nodejs,tessel,2
400,nodejs,backend,2
401,nodejs,javascript,51
402,nodejs,websocket,1
403,mobile_game_development,game_development,15
404,artists,creativity,2
405,symfony2,php,8
406,cms_for_designers,cms_(content_management_systems),2
407,css,html5,37
408,css,front-end_engineering,4
409,css,html,15
410,css,html_and_css,8
411,pmp,ceos_&_founders,1
412,pmp,scrum,3
413,digital_marketer,digital_marketing_professionals,3
414,haskell,functional_programming,14
415,elixir,otp,4
416,elixir,learning_erlang_and_otp,4
417,elixir,programming_languages,4
418,wireless_communications,nfv,1
419,wireless_communications,internet_of_things,5
420,wireless_communications,wireless,2
421,html_5/css3,javascript,6
422,expat,devops,1
423,wordpress_workshops,wordpress_plugins,4
424,java,j2ee,7
425,java,groovy_programming_language,1
