,Gwynedd,Pembrokeshire,Monmouthshire,Swansea,Carmarthenshire,Cardiff,Blaenau Gwent,tag_name,year
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m2m_devices_machine_to_machine,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m2m_devices_machine_to_machine,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m2m_devices_machine_to_machine,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m2m_devices_machine_to_machine,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m2m_devices_machine_to_machine,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruby_on_rails_amazon_web_services,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruby_on_rails_amazon_web_services,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruby_on_rails_amazon_web_services,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruby_on_rails_amazon_web_services,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruby_on_rails_amazon_web_services,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,what_ecommerce_platform_do_you_use?,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,what_ecommerce_platform_do_you_use?,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,what_ecommerce_platform_do_you_use?,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,what_ecommerce_platform_do_you_use?,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,what_ecommerce_platform_do_you_use?,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smart_city_or_cities,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smart_city_or_cities,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smart_city_or_cities,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smart_city_or_cities,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smart_city_or_cities,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_catalogue_management,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_catalogue_management,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_catalogue_management,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_catalogue_management,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_catalogue_management,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,industrial_networking,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,industrial_networking,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,industrial_networking,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,industrial_networking,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,industrial_networking,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk_assessment,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk_assessment,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk_assessment,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk_assessment,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk_assessment,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,help_desk,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,help_desk,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,help_desk,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,help_desk,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,help_desk,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finding_wholesale_items_to_sell_on_ebay,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finding_wholesale_items_to_sell_on_ebay,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finding_wholesale_items_to_sell_on_ebay,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finding_wholesale_items_to_sell_on_ebay,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finding_wholesale_items_to_sell_on_ebay,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,demandware,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,demandware,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,demandware,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,demandware,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,demandware,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_strategy_and_professional_development,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_strategy_and_professional_development,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_strategy_and_professional_development,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_strategy_and_professional_development,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_strategy_and_professional_development,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strategic_organizational_change,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strategic_organizational_change,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strategic_organizational_change,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strategic_organizational_change,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strategic_organizational_change,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,product_owners,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,product_owners,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,product_owners,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,product_owners,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,product_owners,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,itil_itsm,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,itil_itsm,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,itil_itsm,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,itil_itsm,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,itil_itsm,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,online_education_&_technology_for_educators_and_hr,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,online_education_&_technology_for_educators_and_hr,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,online_education_&_technology_for_educators_and_hr,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,online_education_&_technology_for_educators_and_hr,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,online_education_&_technology_for_educators_and_hr,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orocommerce,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orocommerce,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orocommerce,2013
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orocommerce,2014
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orocommerce,2015
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reputation_management,2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reputation_management,2012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reputation_management,2013
