member_registered_location,Allerdale,Barnet,Bath and North East Somerset,Belfast,Birmingham,Blaenau Gwent,Brent,Brighton and Hove,"Bristol, City of",Cambridge,Camden,Cardiff,Carmarthenshire,Cheltenham,Cheshire West and Chester,City of Edinburgh,City of London,Corby,Coventry,Derby,Enfield,Exeter,Greenwich,Guildford,Gwynedd,Hackney,Hammersmith and Fulham,"Herefordshire, County of",Islington,Lambeth,Leeds,Lewisham,Liverpool,Manchester,Milton Keynes,Monmouthshire,Newcastle upon Tyne,Newham,Norwich,Nottingham,Oxford,Pembrokeshire,Peterborough,Preston,Redbridge,Salford,Sheffield,Shropshire,South Bucks,South Gloucestershire,South Oxfordshire,Southampton,Southwark,Stafford,Swansea,Swindon,Topic,Tower Hamlets,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wokingham,Worcester,Wycombe
Flintshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,23.076923076923077,23.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Makers & Design,0.0,0.0,15.384615384615385,0.0,0.0,7.6923076923076925,0.0,0.0,0.0
Gwynedd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merthyr Tydfil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monmouthshire,0.0,0.0,33.33333333333333,0.0,2.564102564102564,0.0,0.0,0.0,46.15384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.94871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neath Port Talbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818181818183,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newport,0.0,0.0,39.285714285714285,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,0.0,Makers & Design,0.0,0.0,0.0,0.0,3.571428571428571,0.0,0.0,0.0,0.0
Pembrokeshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1578947368421,0.0,Makers & Design,0.0,0.0,0.0,0.0,10.526315789473683,0.0,0.0,0.0,0.0
Rhondda Cynon Taf,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,12.5,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.2178649237472767,0.0,0.2178649237472767,0.0,0.2178649237472767,3.9215686274509802,0.0,0.0,0.0,0.0,0.6535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2178649237472767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.55337690631809,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torfaen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vale of Glamorgan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451612903225806,0.0,9.67741935483871,74.19354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451612903225806,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wrexham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Makers & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blaenau Gwent,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bridgend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.349206349206349,0.0,0.0,82.53968253968253,0.0,0.0,0.0,0.0,3.1746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.349206349206349,0.0,Business,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,0.0
Caerphilly,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,0.0,4.545454545454546,76.13636363636364,0.0,0.0,0.0,0.0,5.681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,3.4090909090909087,Business,0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,0.0,0.0
Cardiff,0.0,0.0,0.2635740643120717,0.05271481286241434,0.158144438587243,0.05271481286241434,0.0,0.21085925144965736,4.902477596204533,0.0,0.9488666315234582,87.13758566157091,0.0,0.05271481286241434,0.0,0.0,0.8961518186610438,0.0,0.0,0.05271481286241434,0.0,0.0,0.10542962572482868,0.42171850289931473,0.0,0.316288877174486,0.0,0.0,0.8434370057986295,0.05271481286241434,0.10542962572482868,0.0,0.0,0.4744333157617291,0.0,0.05271481286241434,0.0,0.0,0.05271481286241434,0.10542962572482868,0.0,0.0,0.0,0.0,0.05271481286241434,0.0,0.0,0.0,0.0,0.0,0.10542962572482868,0.21085925144965736,0.2635740643120717,0.05271481286241434,1.3178703215603584,0.0,Business,0.05271481286241434,0.0,0.05271481286241434,0.0,0.5798629414865577,0.0,0.0,0.05271481286241434,0.0
Carmarthenshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,1.8518518518518516,0.0,42.592592592592595,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceredigion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.85714285714286,0.0,0.0,0.0,0.0,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conwy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Denbighshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,31.818181818181817,0.0,0.0,4.545454545454546,0.0,0.0,0.0
Flintshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,2.7027027027027026,2.7027027027027026,0.0,16.216216216216218,43.24324324324324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,8.108108108108109,5.405405405405405,0.0,8.108108108108109,2.7027027027027026,0.0,0.0,0.0
Gwynedd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33112582781456956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.39735099337747,0.0,0.0,0.0,0.33112582781456956,0.0,0.0,0.0,0.0,8.940397350993377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isle of Anglesey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merthyr Tydfil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monmouthshire,0.0,0.0,15.887850467289718,0.0,0.0,0.0,0.0,0.0,53.271028037383175,0.0,0.9345794392523363,18.69158878504673,0.0,0.9345794392523363,0.0,0.0,0.0,0.9345794392523363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5420560747663545,0.0,0.0,0.0,0.0,0.0,0.0,2.803738317757009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neath Port Talbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173913043478,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newport,0.0,0.0,5.14018691588785,0.0,0.46728971962616817,0.0,0.0,0.0,4.205607476635514,0.0,0.0,86.91588785046729,0.0,0.0,0.0,0.0,0.9345794392523363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46728971962616817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46728971962616817,0.46728971962616817,Business,0.0,0.0,0.0,0.0,0.9345794392523363,0.0,0.0,0.0,0.0
Pembrokeshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.54545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739130434782608,0.0,10.869565217391305,0.0,0.0,0.0,0.0,0.0,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.95652173913043,0.0,30.434782608695656,0.0,Business,0.0,0.0,0.0,0.0,15.217391304347828,0.0,0.0,0.0,0.0
Rhondda Cynon Taf,0.0,0.0,0.0,0.0,1.2345679012345678,0.0,0.0,1.2345679012345678,1.2345679012345678,0.0,1.2345679012345678,66.66666666666666,0.0,0.0,0.0,0.0,12.345679012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,2.4691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2345679012345678,0.0,0.0,6.172839506172839,0.0,Business,3.7037037037037033,0.0,0.0,0.0,1.2345679012345678,0.0,0.0,0.0,0.0
Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983388704318937,0.6644518272425249,0.0,0.0,5.48172757475083,0.0,0.0,0.0,0.0,3.6544850498338874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16611295681063123,0.16611295681063123,0.0,0.0,0.0,0.16611295681063123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.70431893687709,0.0,Business,0.0,0.0,0.0,0.0,0.4983388704318937,0.0,0.0,0.0,0.0
Torfaen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.523809523809524,0.0,0.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0
Vale of Glamorgan,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,2.7777777777777777,6.481481481481481,0.0,2.7777777777777777,74.07407407407408,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259258,0.9259259259259258,0.0,0.9259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,Business,0.0,0.0,0.0,0.0,0.9259259259259258,0.0,0.0,0.0,0.0
