n1,n2,weight
Surface Technology Systems Plc,Surface Technology Systems Plc,1
University of Glamorgan,University of South Wales,2
University of Glamorgan,National Slate Museum Wales,1
University of Glamorgan,Glamorgan Cricket Club,1
University of Glamorgan,University of Glamorgan,1
University of Glamorgan,National Museum Wales,4
University of Glamorgan,Cardiff Council,1
University of Glamorgan,WJEC,1
University of Glamorgan,National Waterfront Museum,1
University of Glamorgan,CWVYS,1
University of Glamorgan,Cardiff University,1
University of Glamorgan,RCAHMW,1
University of Glamorgan,Swansea NHS Trust,1
University of Glamorgan,Swansea University,2
University of Glamorgan,Techniquest,1
University of Glamorgan,Dwr Cymru Welsh Water,1
University of Glamorgan,Cynon Valley Museum & Gallery,1
University of Glamorgan,The National Library of Wales,1
Natural Resources Wales,Dwr Cymru Welsh Water,4
Natural Resources Wales,The Emergency Planning Society,1
Natural Resources Wales,Natural Resources Wales,1
Natural Resources Wales,Bangor University,1
Natural Resources Wales,Welsh Local Government Association,1
Natural Resources Wales,Cardiff Metropolitan University,1
Natural Resources Wales,SRK Consulting UK Ltd,1
Natural Resources Wales,Aberystwyth University,1
Natural Resources Wales,Cardiff University,3
Natural Resources Wales,Afonydd Cymru,2
Natural Resources Wales,Public Health Wales,1
Natural Resources Wales,Countryside Council for Wales,3
Natural Resources Wales,Welsh Government,4
Natural Resources Wales,Public Health Wales NHS Trust,1
Natural Resources Wales,PLANED,1
Alun Griffiths (Contractors) Limited,Cardiff University,1
Cardiff Metropolitan University,Higher Education Funding Council - Wales,1
Cardiff Metropolitan University,Dwr Cymru Welsh Water,1
Cardiff Metropolitan University,Public Health Wales,1
Cardiff Metropolitan University,Welsh Government,2
Cardiff Metropolitan University,PDR National Centre for Product  Design,2
Cardiff Metropolitan University,Gwalia Housing Society Ltd,1
Cardiff Metropolitan University,Cardiff Metropolitan University,2
Cardiff Metropolitan University,Cardiff University,1
Ebbw Vale & District Trust,The Bevan Foundation,1
Ebbw Vale & District Trust,Deaf Access Cymru (DAC),1
Ebbw Vale & District Trust,3Gs Development Trust,1
Ebbw Vale & District Trust,Cwmaman Communities First,1
URSULA Agriculture Ltd,Aberystwyth University,1
Cardiff Capital Region Board,Cardiff Council,1
National Welsh College,Aberystwyth University,1
National Welsh College,The National Library of Wales,2
BBInternational (British Biocell),MSM Anglesey Ltd,1
BBInternational (British Biocell),Cardiff University,1
SPTS Technologies,Swansea NHS Trust,1
SPTS Technologies,HAEMAIR LTD,2
SPTS Technologies,Swansea University,2
SPTS Technologies,Morriston Hospital,1
SPTS Technologies,Haemometrics Ltd,1
SPTS Technologies,Cardiff University,1
SPECIFIC (Innovation and Knowledge Ctr),Swansea University,1
SPECIFIC (Innovation and Knowledge Ctr),Dow Corning Ltd,1
Haemometrics Ltd,Morriston Hospital,1
Haemometrics Ltd,Swansea NHS Trust,1
Haemometrics Ltd,HAEMAIR LTD,2
Haemometrics Ltd,Swansea University,1
University of South Wales,S4C,1
University of South Wales,R-Tech Services Ltd,1
University of South Wales,Vale Europe Ltd,1
University of South Wales,National Museum Wales,1
University of South Wales,Royal Television Society Wales,1
University of South Wales,National Research Network,1
University of South Wales,Sandvik Materials Technology,1
University of South Wales,Swansea University,3
University of South Wales,Cogent Power Ltd,1
University of South Wales,HPC Wales,1
University of South Wales,Cardiff University,2
University of South Wales,Weartech International Ltd,1
Cardiff & Vale University Health Board,Public Health Wales NHS Trust,4
Cardiff & Vale University Health Board,Abertawe Bro Morgannwg University Health Board,2
Cardiff & Vale University Health Board,Swansea University,2
Cardiff & Vale University Health Board,Cardiff University,12
Royal Com Ancient & Historical Monuments,Aberystwyth University,1
Boots Centre for Innovation BCI,Abertawe Bro Morgannwg NHS Trust,2
Boots Centre for Innovation BCI,Swansea NHS Trust,1
Boots Centre for Innovation BCI,Swansea University,2
S&C Electric Europe Limited,INEXUS,1
S&C Electric Europe Limited,Cardiff University,1
Fram3,South Wales Police,1
Fram3,Accelero Digital Solutions Ltd,1
Fram3,Blurrt,1
Fram3,We Predict Ltd,1
Fram3,Drivers & Vehicle Licensing Agency,1
Fram3,ABM University NHS Trust,1
Fram3,City and County of Swansea,1
Fram3,Swansea University,1
Fram3,SymlConnect,1
Fram3,Leadin UK,1
Fram3,Gwalia Housing Society Ltd,1
Fram3,Protect 2020 Ltd,1
INEXUS,Cardiff University,1
Public Health Wales,Dwr Cymru Welsh Water,1
Public Health Wales,Arts Council of Wales,1
Arts Council of Wales,Bangor University,1
Arts Council of Wales,Denbighshire County Council,1
Centre for Regeneration Excellence Wales,Butetown History and Arts Centre,1
Centre for Regeneration Excellence Wales,3Gs Development Trust,1
Centre for Regeneration Excellence Wales,Welsh Government,1
Centre for Regeneration Excellence Wales,Cardiff Council,1
Centre for Regeneration Excellence Wales,Public Health Wales NHS Trust,2
Centre for Regeneration Excellence Wales,The National Library of Wales,1
Centre for Regeneration Excellence Wales,National Theatre Wales,2
Centre for Regeneration Excellence Wales,Cardiff University,1
Welsh Automotive Forum,Utility Partnership Ltd,1
Mabey Bridge Ltd,Power Units M & E Engineering Ltd,1
Mabey Bridge Ltd,Cardiff University,1
Mabey Bridge Ltd,Tidal Energy Limited,1
Glamorgan-Gwent Archaeological Trust,National Museum Wales,2
Glamorgan-Gwent Archaeological Trust,City and County of Swansea,3
Glamorgan-Gwent Archaeological Trust,National Waterfront Museum,2
Glamorgan-Gwent Archaeological Trust,Swansea University,2
North Abergavenny Communities First,Abergavenny Community Centre,2
North Abergavenny Communities First,Cardiff University,2
Angela Ash Associates,Swansea University,1
Innovis Genetics Ltd,Welsh Country Foods Ltd,1
Innovis Genetics Ltd,Suffolk Sire Reference Scheme Limited,1
Innovis Genetics Ltd,Hybu Cig Cymru,1
Innovis Genetics Ltd,Aberystwyth University,1
yellobrick,Abersychan and Garndiffaith Local Histor,1
yellobrick,Cardiff University,1
Sentomol,Myco Solutions,1
Sentomol,Lisk & Jones Consultants Ltd,1
Sentomol,Swansea University,1
Sentomol,Maelor Forest Nurseries Ltd,1
The Bevan Foundation,Deaf Access Cymru (DAC),1
The Bevan Foundation,3Gs Development Trust,1
The Bevan Foundation,Cwmaman Communities First,1
Protect 2020 Ltd,South Wales Police,1
Protect 2020 Ltd,Accelero Digital Solutions Ltd,1
Protect 2020 Ltd,Blurrt,1
Protect 2020 Ltd,We Predict Ltd,1
Protect 2020 Ltd,ABM University NHS Trust,1
Protect 2020 Ltd,City and County of Swansea,1
Protect 2020 Ltd,SymlConnect,1
Protect 2020 Ltd,Swansea University,1
Protect 2020 Ltd,Gwalia Housing Society Ltd,1
Protect 2020 Ltd,Leadin UK,1
Protect 2020 Ltd,Drivers & Vehicle Licensing Agency,1
S4C,Royal Television Society Wales,1
Agroceutical Products,Bangor University,2
Accelero Digital Solutions Ltd,South Wales Police,1
Accelero Digital Solutions Ltd,Blurrt,1
Accelero Digital Solutions Ltd,We Predict Ltd,1
Accelero Digital Solutions Ltd,Drivers & Vehicle Licensing Agency,1
Accelero Digital Solutions Ltd,ABM University NHS Trust,1
Accelero Digital Solutions Ltd,City and County of Swansea,1
Accelero Digital Solutions Ltd,Swansea University,1
Accelero Digital Solutions Ltd,SymlConnect,1
Accelero Digital Solutions Ltd,Leadin UK,1
Accelero Digital Solutions Ltd,Gwalia Housing Society Ltd,1
Y Lolfa Publishers,University of Wales,1
Y Lolfa Publishers,WJEC,1
Y Lolfa Publishers,Welsh Government,1
Y Lolfa Publishers,Cardiff University,1
Glamorgan Cricket Club,National Slate Museum Wales,1
Glamorgan Cricket Club,National Museum Wales,1
Glamorgan Cricket Club,National Waterfront Museum,1
